UID	Lncbook_id	Noncode_id	chr	start	end	strand
ELH001919	HSALNG0036497	NONHSAG038682.2	chr4	113373360	113381516	+
ELH001920	HSALNG0036850	NONHSAG088493.1	chr4	122349855	122362199	-
ELH001923	HSALNG0037665	N.A.	chr4	145642248	145650624	-
ELH001928	HSALNG0037853	NONHSAG088593.1	chr4	151256005	151325320	-
ELH001930	HSALNG0037967	NONHSAG039147.3	chr4	153683139	153750975	+
ELH001931	HSALNG0038116	N.A.	chr4	157298734	157349910	-
ELH001935	HSALNG0038442	NONHSAG039293.2	chr4	168828108	168913969	-
ELH001936	HSALNG0038445	N.A.	chr4	168851580	168917930	-
ELH001938	HSALNG0038448	N.A.	chr4	168895178	168928417	+
ELH002053	HSALNG0039429	NONHSAG039620.3	chr5	254374	271628	-
ELH001994	HSALNG0039540	NONHSAG090768.1	chr5	1255085	1255285	-
ELH001999	HSALNG0039543	NONHSAG089928.1	chr5	1295161	1296835	+
ELH002057	HSALNG0041149	NONHSAG040179.2	chr5	35675954	35860399	-
ELH002058	HSALNG0041181	NONHSAG040188.2	chr5	36194822	36219691	-
ELH002079	HSALNG0042406	N.A.	chr5	68235333	68316166	-
ELH002080	HSALNG0042407	N.A.	chr5	68278860	68319937	-
ELH002081	HSALNG0042440	NONHSAG091025.1	chr5	68995440	69125539	-
ELH002083	HSALNG0042447	NONHSAG040601.3	chr5	69113112	69166937	-
ELH002088	HSALNG0042694	N.A.	chr5	74682891	74685118	-
ELH002089	HSALNG0042697	NONHSAG040729.2	chr5	74718292	74718971	+
ELH002093	HSALNG0043002	N.A.	chr5	80654360	80665353	+
ELH002094	HSALNG0043004	NONHSAG090297.1	chr5	80761561	80768946	+
ELH002097	HSALNG0043145	NONHSAG040909.2	chr5	83513481	83582047	-
ELH002100	HSALNG0043287	NONHSAG090323.1	chr5	87155904	87283772	+
ELH002102	HSALNG0043295	N.A.	chr5	87372219	87376386	-
ELH001987	HSALNG0044175	NONHSAG041256.2	chr5	112707621	112775653	+
ELH001988	HSALNG0044176	N.A.	chr5	112731309	112813837	-
ELH001995	HSALNG0044727	N.A.	chr5	128259787	128274472	+
ELH001996	HSALNG0044728	NONHSAG041480.2	chr5	128320231	128366423	+
ELH001998	HSALNG0044729	N.A.	chr5	128444858	128447989	+
ELH002001	HSALNG0044863	N.A.	chr5	132595154	132600107	+
ELH002003	HSALNG0044864	NONHSAG041529.2	chr5	132629341	132666458	-
ELH002011	HSALNG0045294	NONHSAG041716.3	chr5	140114420	140114769	-
ELH002013	HSALNG0045377	NONHSAG041758.2	chr5	141107368	141404734	-
ELH002015	HSALNG0045612	NONHSAG041844.2	chr5	146098324	146120413	+
ELH002018	HSALNG0045716	NONHSAG041883.2	chr5	148452495	148559987	+
ELH002019	HSALNG0045789	NONHSAG091310.1	chr5	149983059	149986193	-
ELH002024	HSALNG0045906	NONHSAG041966.2	chr5	151253052	151705182	+
ELH002028	HSALNG0046098	N.A.	chr5	157070316	157114900	+
ELH002030	HSALNG0046128	NONHSAG090634.2	chr5	157565964	157577960	+
ELH002034	HSALNG0046274	N.A.	chr5	161302761	161522840	+
ELH002036	HSALNG0046325	NONHSAG042138.2	chr5	163482571	163494080	-
ELH002040	HSALNG0046674	NONHSAG090697.1	chr5	173176623	173255537	+
ELH002170	HSALNG0047547	NONHSAG042724.2	chr6	3000889	3022800	+
ELH002175	HSALNG0047567	NONHSAG113123.1	chr6	3104423	3118673	-
ELH002210	HSALNG0047891	NONHSAG042957.3	chr6	7539834	7544903	-
ELH002160	HSALNG0048722	NONHSAG093064.2	chr6	25992641	26271353	+
ELH002163	HSALNG0048729	NONHSAG043229.2	chr6	26087449	26095322	+
ELH002178	HSALNG0049410	N.A.	chr6	32472953	32589855	+
ELH002179	HSALNG0049418	NONHSAG094091.1	chr6	32569226	32586201	-
ELH002188	HSALNG0049981	NONHSAG094148.2	chr6	40878603	41106712	-
ELH002190	HSALNG0050030	NONHSAG043770.3	chr6	41494042	41548670	-
ELH002194	HSALNG0050286	NONHSAG043851.2	chr6	44299472	44300772	+
ELH002199	HSALNG0050595	NONHSAG093267.1	chr6	52068808	52073134	+
ELH002220	HSALNG0052167	NONHSAG044429.2	chr6	98873934	98899346	-
ELH002118	HSALNG0052830	NONHSAG044624.2	chr6	112116000	112166476	+
ELH002121	HSALNG0053052	N.A.	chr6	117310756	117365094	+
ELH002123	HSALNG0053091	N.A.	chr6	118548313	118561847	+
ELH002125	HSALNG0053159	N.A.	chr6	121446863	121447122	-
ELH002126	HSALNG0053233	NONHSAG093581.1	chr6	123308405	123339509	+
ELH002128	HSALNG0053235	NONHSAG094470.1	chr6	123337619	123439002	-
ELH002129	HSALNG0053236	N.A.	chr6	123349339	123352590	+
ELH002131	HSALNG0053237	NONHSAG044751.2	chr6	123389421	123513455	+
ELH002133	HSALNG0053239	N.A.	chr6	123519439	123570916	+
ELH002134	HSALNG0053242	NONHSAG113024.1	chr6	123589711	123685323	+
ELH002141	HSALNG0054064	N.A.	chr6	144188810	144190541	-
ELH002149	HSALNG0054891	NONHSAG113087.1	chr6	161544607	161595373	+
ELH002349	HSALNG0055491	NONHSAG097494.2	chr7	82179	194357	-
ELH002293	HSALNG0055770	NONHSAG046811.2	chr7	2944024	2947092	+
ELH002294	HSALNG0056996	NONHSAG097020.1	chr7	30384230	31211456	-
ELH002310	HSALNG0057946	NONHSAG097101.1	chr7	50382723	50400114	-
ELH002313	HSALNG0058160	N.A.	chr7	55019296	55020877	-
ELH002315	HSALNG0058163	N.A.	chr7	55150308	55156125	-
ELH002316	HSALNG0058164	NONHSAG047619.2	chr7	55156607	55171211	+
ELH002317	HSALNG0058165	N.A.	chr7	55158866	55161285	-
ELH002318	HSALNG0058166	NONHSAG047620.3	chr7	55171673	55188949	-
ELH002327	HSALNG0058571	N.A.	chr7	65964146	65975006	-
ELH002342	HSALNG0059043	NONHSAG097162.1	chr7	76006795	76279258	-
ELH002345	HSALNG0059132	NONHSAG048057.3	chr7	77477984	77697345	-
ELH002346	HSALNG0059245	NONHSAG048101.3	chr7	81690254	82072476	+
ELH002348	HSALNG0059259	N.A.	chr7	82124813	82349644	-
ELH002354	HSALNG0059515	NONHSAG048189.2	chr7	91939509	91940928	-
ELH002356	HSALNG0059516	NONHSAG113834.1	chr7	92085182	92085599	-
ELH002359	HSALNG0059620	NONHSAG048228.2	chr7	94261971	94395762	-
ELH002362	HSALNG0059629	N.A.	chr7	94418419	94428429	-
ELH002222	HSALNG0060046	N.A.	chr7	100806539	100817072	+
ELH002227	HSALNG0060268	N.A.	chr7	104368189	104535463	+
ELH002229	HSALNG0060327	N.A.	chr7	105553629	105565108	+
ELH002230	HSALNG0060393	NONHSAG097249.1	chr7	106872884	106883879	-
ELH002231	HSALNG0060458	N.A.	chr7	107919876	107922039	-
ELH002234	HSALNG0060740	NONHSAG048602.2	chr7	116194588	116499546	-
ELH002236	HSALNG0060752	N.A.	chr7	116542718	116559613	-
ELH002237	HSALNG0060755	NONHSAG048610.2	chr7	116563594	116688391	-
ELH002238	HSALNG0060762	NONHSAG097285.1	chr7	116739683	116741570	-
ELH002239	HSALNG0060763	NONHSAG096599.1	chr7	116758132	116763125	+
ELH002240	HSALNG0060794	NONHSAG048623.2	chr7	117447905	117504308	+
ELH002242	HSALNG0060795	N.A.	chr7	117517139	117535411	+
ELH002245	HSALNG0060798	NONHSAG048626.2	chr7	117604533	117691046	-
ELH002251	HSALNG0061066	NONHSAG048695.3	chr7	124925770	125482966	+
ELH002253	HSALNG0061281	N.A.	chr7	129191026	129214115	-
ELH002268	HSALNG0062001	N.A.	chr7	144403923	144779170	+
ELH002270	HSALNG0062091	N.A.	chr7	148802093	148824109	+
ELH002276	HSALNG0062310	N.A.	chr7	150974910	150977816	+
ELH002278	HSALNG0062386	NONHSAG097436.1	chr7	151835716	151879212	-
ELH002279	HSALNG0062390	NONHSAG049185.2	chr7	151876284	151879326	+
ELH002282	HSALNG0062433	N.A.	chr7	152553917	152685031	+
ELH002403	HSALNG0063531	NONHSAG099310.1	chr8	13085595	13088522	-
ELH002408	HSALNG0063540	N.A.	chr8	13396494	13429327	+
ELH002409	HSALNG0063547	NONHSAG098633.1	chr8	13462698	13538562	+
ELH002428	HSALNG0063617	N.A.	chr8	16114396	16160630	+
ELH002430	HSALNG0063700	NONHSAG049655.3	chr8	18059644	18084110	-
ELH002432	HSALNG0063701	NONHSAG098653.2	chr8	18084154	18127402	+
ELH002436	HSALNG0064117	NONHSAG099360.1	chr8	26360972	26363872	-
ELH002437	HSALNG0064118	NONHSAG099361.1	chr8	26365290	26371129	-
ELH002439	HSALNG0064337	N.A.	chr8	30095676	30106028	+
ELH002441	HSALNG0064590	NONHSAG098764.1	chr8	37836737	37852651	+
ELH002445	HSALNG0064881	N.A.	chr8	42328144	42331092	-
ELH002447	HSALNG0065082	NONHSAG099425.1	chr8	47773111	47776867	-
ELH002448	HSALNG0065087	NONHSAG050167.2	chr8	47941394	47945779	+
ELH002452	HSALNG0065451	N.A.	chr8	56068467	56070446	+
ELH002454	HSALNG0065452	NONHSAG050273.2	chr8	56073058	56074492	-
ELH002458	HSALNG0065692	NONHSAG050345.2	chr8	61684038	61714519	-
ELH002464	HSALNG0066083	NONHSAG098896.1	chr8	70669369	71228629	+
ELH002470	HSALNG0066847	N.A.	chr8	89933336	89953354	-
ELH002473	HSALNG0066990	NONHSAG099615.1	chr8	93752528	93769662	-
ELH002475	HSALNG0066993	NONHSAG114109.1	chr8	93814983	93816696	+
ELH002477	HSALNG0067066	NONHSAG099623.1	chr8	95037142	95048716	-
ELH002369	HSALNG0067511	N.A.	chr8	103315594	103323337	-
ELH002371	HSALNG0067586	N.A.	chr8	105429559	105444324	-
ELH002372	HSALNG0067587	NONHSAG051010.2	chr8	105463815	106060524	-
ELH002374	HSALNG0067947	N.A.	chr8	116857279	116874771	-
ELH002385	HSALNG0068436	NONHSAG099741.1	chr8	127252769	127738987	-
ELH002389	HSALNG0068468	NONHSAG114404.1	chr8	127737776	127738352	-
ELH002405	HSALNG0068704	N.A.	chr8	132888401	132901300	-
ELH002407	HSALNG0068721	N.A.	chr8	133130110	133145483	-
ELH002420	HSALNG0069352	NONHSAG099242.2	chr8	143919768	143920248	+
ELH002422	HSALNG0069353	N.A.	chr8	143927909	143929008	-
ELH002426	HSALNG0069439	N.A.	chr8	144512567	144513672	+
ELH002533	HSALNG0069610	N.A.	chr9	2107860	2116316	-
ELH002555	HSALNG0069862	N.A.	chr9	6509208	6536027	+
ELH002556	HSALNG0069867	NONHSAG114723.1	chr9	6553432	6554909	-
ELH002535	HSALNG0070392	NONHSAG101906.1	chr9	21932644	22239600	-
ELH002536	HSALNG0070394	NONHSAG101227.1	chr9	21959789	21979105	+
ELH002540	HSALNG0070397	NONHSAG101229.2	chr9	21994130	22876986	+
ELH002545	HSALNG0070900	NONHSAG052097.2	chr9	35073844	35074980	-
ELH002548	HSALNG0070987	N.A.	chr9	36214441	36255640	-
ELH002550	HSALNG0071018	N.A.	chr9	37002658	37008040	+
ELH002561	HSALNG0071739	NONHSAG052511.2	chr9	69378768	69408830	-
ELH002577	HSALNG0072961	NONHSAG101514.1	chr9	95130972	95161286	+
ELH002578	HSALNG0072962	NONHSAG101513.1	chr9	95135032	95141733	+
ELH002580	HSALNG0072963	NONHSAG101515.1	chr9	95169743	95172080	+
ELH002581	HSALNG0072964	N.A.	chr9	95185177	95393999	+
ELH002584	HSALNG0072965	NONHSAG052925.3	chr9	95185277	95427258	-
ELH002585	HSALNG0072978	NONHSAG052929.2	chr9	95463609	95470019	+
ELH002586	HSALNG0072979	NONHSAG052931.2	chr9	95480540	95506603	-
ELH002587	HSALNG0072980	NONHSAG052933.2	chr9	95485825	95516658	-
ELH002588	HSALNG0072982	NONHSAG102979.2	chr9	95506188	95507644	+
ELH002593	HSALNG0073199	NONHSAG053014.2	chr9	98625607	98877335	-
