Name	NCBI_gene_Id	NONCODEId
GAS1RR	100506834	NONHSAG052726.3
NEAT1	283131	NONHSAG008670.3
SNHG1	23642	NONHSAG008552.3
RHPN1-AS1	78998	NONHSAG114445.1
EGFR-AS1	100507500	NONHSAG047620.3
GHET1	102723099	NONHSAG113647.1
LINC00461	645323	NONHSAG040969.3
LINC00460	728192	NONHSAG014130.3
ACTA2-AS1	100132116	NONHSAG006474.2
MINCR	100507316	NONHSAG051484.2
TRPM2-AS	101928607	NONHSAG033027.3
LSINCT5	101234261	NONHSAG089950.1
LINC01234	100506465	NONHSAG012367.2
LINC-ROR	100885779	NONHSAG023930.2
DDX11-AS1	100506660	NONHSAG010798.3
LINC00974	147093	NONHSAG021780.2
LINC00887	100131551	NONHSAG037025.3
OTUD6B-AS1	100506365	NONHSAG050725.3
MBNL1-AS1	401093	NONHSAG036412.3
ASMTL-AS1	80161	NONHSAG103259.2
FAM30A	9834	NONHSAG016118.2
MIR503HG	84848	NONHSAG055350.3
LINC01089	338799	NONHSAG012555.3
HCG11	493812	NONHSAG043250.2
TUSC8	400128	NONHSAG013388.3
LINC01939	101060385	NONHSAG026794.2
LINC00968	100507632	NONHSAG050284.2
LINC01133	100505633	NONHSAG003198.3
ZNF667-AS1	100128252	NONHSAG026631.3
DRAIC	145837	NONHSAG017288.3
SNHG15	285958	NONHSAG047507.3
MIR124-1HG	157627	NONHSAG049507.3
LNCNEF	101929685	NONHSAG031453.2
A1BG-AS1	503538	NONHSAG026721.3
ADAMTS9-AS2	100507098	NONHSAG084701.2
SENCR	100507392	NONHSAG010021.2
AFDN-DT	653483	NONHSAG045430.3
PICSAR	378825	NONHSAG033061.2
MHRT	104564225	NONHSAG068639.2
E2F4as	N.A.	N.A.
